Age	Attrition	BusinessTravel	Gender	JobLevel	JobRole	JobSatisfaction	MonthlyIncome	NumCompaniesWorked	OverTime	PercentSalaryHike	TotalWorkingYears	YearsAtCompany
41	Yes	Travel_Rarely	Female	2	Sales Executive	4	5993	8	Yes	11	8	6
49	No	Travel_Frequently	Male	2	Research Scientist	2	5130	1	No	23	10	10
37	Yes	Travel_Rarely	Male	1	Laboratory Technician	3	2090	6	Yes	15	7	0
33	No	Travel_Frequently	Female	1	Research Scientist	3	2909	1	Yes	11	8	8
27	No	Travel_Rarely	Male	1	Laboratory Technician	2	3468	9	No	12	6	2
32	No	Travel_Frequently	Male	1	Laboratory Technician	4	3068	0	No	13	8	7
59	No	Travel_Rarely	Female	1	Laboratory Technician	1	2670	4	Yes	20	12	1
30	No	Travel_Rarely	Male	1	Laboratory Technician	3	2693	1	No	22	1	1
38	No	Travel_Frequently	Male	3	Manufacturing Director	3	9526	0	No	21	10	9
36	No	Travel_Rarely	Male	2	Healthcare Representative	3	5237	6	No	13	17	7
35	No	Travel_Rarely	Male	1	Laboratory Technician	2	2426	0	No	13	6	5
29	No	Travel_Rarely	Female	2	Laboratory Technician	3	4193	0	Yes	12	10	9
31	No	Travel_Rarely	Male	1	Research Scientist	3	2911	1	No	17	5	5
34	No	Travel_Rarely	Male	1	Laboratory Technician	4	2661	0	No	11	3	2
28	Yes	Travel_Rarely	Male	1	Laboratory Technician	3	2028	5	Yes	14	6	4
29	No	Travel_Rarely	Female	3	Manufacturing Director	1	9980	1	No	11	10	10
32	No	Travel_Rarely	Male	1	Research Scientist	2	3298	0	Yes	12	7	6
22	No	Non-Travel	Male	1	Laboratory Technician	4	2935	1	Yes	13	1	1
53	No	Travel_Rarely	Female	4	Manager	4	15427	2	No	16	31	25
38	No	Travel_Rarely	Male	1	Research Scientist	4	3944	5	Yes	11	6	3
24	No	Non-Travel	Female	2	Manufacturing Director	3	4011	0	No	18	5	4
36	Yes	Travel_Rarely	Male	1	Sales Representative	1	3407	7	No	23	10	5
34	No	Travel_Rarely	Female	3	Research Director	2	11994	0	No	11	13	12
21	No	Travel_Rarely	Male	1	Research Scientist	4	1232	1	No	14	0	0
34	Yes	Travel_Rarely	Male	1	Research Scientist	1	2960	2	No	11	8	4
53	No	Travel_Rarely	Female	5	Manager	3	19094	4	No	11	26	14
